# flightline, latitude_mean, longitude_mean, elevation_mean, latitude_stdev, longitude_stdev, elevation_stdev, cloud_fraction, ndvi_mean, ndvi_stdev, dimensionality
ang20190701t225819 60.94318771 -138.14167786 1026.36608887 0.00755969 0.01630851 40.62049866 0.02530000 0.48802245 0.24625784 36
ang20190701t225819 60.97643661 -138.23471069 1026.96765137 0.00718054 0.01615233 43.26764297 0.23300000 0.31550461 0.21836437 41
ang20190701t225819 60.61152649 -137.29145813 660.97265625 0.00740829 0.01522726 38.54812241 0.00000000 0.24576972 0.57861024 25
ang20190701t225819 61.00409317 -138.30380249 957.65338135 0.00740661 0.01485801 35.58709335 0.00000000 0.60393214 0.10294826 15
ang20190701t225819 61.03664398 -138.38070679 802.15411377 0.00715509 0.01509544 21.31450272 0.00000000 0.28194267 0.37737277 23
ang20190701t225819 60.63792419 -137.37385559 895.80529785 0.00746954 0.01454461 62.77907181 0.00000000 0.65631115 0.14535195 20
ang20190701t225819 60.67287445 -137.45300293 1022.08178711 0.00733843 0.01480998 43.14734268 0.00680000 0.66426921 0.14245251 26
ang20190701t225819 60.91600800 -138.07344055 932.83251953 0.00718874 0.01471531 72.46972656 0.24320000 0.45101747 0.25727272 39
ang20190701t225819 60.69938278 -137.51931763 1121.85095215 0.00748744 0.01625063 150.59156799 0.00000000 0.77581179 0.11832128 23
ang20190701t225819 60.73408890 -137.61076355 720.78503418 0.00727623 0.01601133 130.91322327 0.00000000 0.72433889 0.06984237 21
ang20190701t225819 60.57678604 -137.22619629 659.12457275 0.00736561 0.01618152 57.57514191 0.00000000 0.42013925 0.49646229 22
ang20190701t225819 60.55008698 -137.13636780 747.21856689 0.00741571 0.01573366 22.48085403 0.00000000 0.70242256 0.09965855 20
ang20190701t225819 60.51526260 -137.06694031 719.24505615 0.00735723 0.01422126 13.64173698 0.00000000 0.70487881 0.11041827 22
ang20190701t225819 60.48826218 -136.99417114 715.88299561 0.00742785 0.01497315 4.69295359 0.00000000 -0.48124960 0.03512145 22
ang20190701t225819 61.02038574 -138.35292053 865.38677979 0.00721623 0.01626536 29.46688843 0.00000000 0.52408081 0.11868881 21
ang20190701t225819 60.62489319 -137.33990479 765.87304688 0.00715870 0.01532858 52.57758713 0.00000000 0.70491332 0.23021324 24
ang20190701t225819 61.05444336 -138.42039490 768.00085449 0.00764140 0.01511207 0.02899132 0.00000000 -0.59344155 0.03945741 20
ang20190701t225819 60.96023178 -138.18905640 1025.38061523 0.00711890 0.01456147 38.93211365 0.02420000 0.71446067 0.17567784 27
ang20190701t225819 60.99359894 -138.26069641 1034.37548828 0.00750470 0.01586824 30.92394066 0.00300000 0.57078195 0.15995298 22
ang20190701t225819 60.71696091 -137.56579590 924.82208252 0.00713025 0.01450636 123.22417450 0.00000000 0.72656506 0.09682970 21
ang20190701t225819 60.93295670 -138.11541748 990.39080811 0.00747347 0.01556461 64.95198059 0.38990000 0.28112906 0.22598049 53
ang20190701t225819 60.74863052 -137.63619995 591.19006348 0.00716882 0.01585387 39.42859268 0.00000000 0.64160091 0.14190374 45
ang20190701t225819 60.65568924 -137.40463257 962.97381592 0.00714807 0.01570628 52.82090759 0.06410000 0.59354776 0.19739415 33
ang20190701t225819 60.68672943 -137.49278259 1112.17224121 0.00708562 0.01514363 80.55880737 0.01020000 0.72935587 0.17184739 28
ang20190701t225819 60.53227997 -137.11134338 749.57427979 0.00714380 0.01602713 15.47180653 0.00000000 0.71830028 0.12509716 21
ang20190701t225819 60.50086975 -137.02073669 712.63635254 0.00715725 0.01603925 6.30690718 0.00000000 -0.08579330 0.49187303 25
ang20190701t225819 60.59431076 -137.25427246 635.54620361 0.00710902 0.01483397 15.93239403 0.00000000 0.18046185 0.61966032 18
ang20190701t225819 60.56297684 -137.17916870 769.30780029 0.00702167 0.01464956 27.55254936 0.00000000 0.70131236 0.10349678 19
ang20190701t225819 60.89995575 -138.02423096 819.54119873 0.00707104 0.01638318 40.91446304 0.00000000 0.60486561 0.10261717 22
ang20190701t225819 60.87172318 -137.95840454 1058.28161621 0.00731713 0.01546127 145.56834412 0.00000000 0.72285247 0.09200112 23
ang20190701t225819 60.83910751 -137.87527466 1655.09460449 0.00708576 0.01460775 275.92938232 0.00420000 0.43956348 0.35349467 52
ang20190701t225819 60.81030655 -137.79379272 1224.50109863 0.00727676 0.01503637 195.55346680 0.00000000 0.70318323 0.25416327 19
ang20190701t225819 60.77810669 -137.72743225 656.88854980 0.00715007 0.01622490 52.80667496 0.00000000 0.57765955 0.18925017 24
ang20190724t201912 69.39559174 -150.87579346 162.50476074 0.00803285 0.01947611 14.03902626 0.00000000 0.57147998 0.03721133 19
ang20190724t201912 69.37625885 -151.06840515 100.70584106 0.00782246 0.01948675 25.57090569 0.00000000 0.46533847 0.15597370 26
ang20190724t201912 69.36667633 -151.19459534 154.02415466 0.00838637 0.01935938 12.68375301 0.00000000 0.54490763 0.03993260 13
ang20190724t201912 69.43807220 -150.49580383 142.04541016 0.00771751 0.01962669 13.41032887 0.00000000 0.42556351 0.10727777 39
ang20190724t201912 69.44820404 -150.36868286 145.51316833 0.00860245 0.01966167 14.43261719 0.00000000 0.37754357 0.10576856 14
ang20190724t201912 69.41320038 -150.74929810 149.51026917 0.00781707 0.01954811 12.24586964 0.00000000 0.56906223 0.04363766 14
ang20190724t201912 69.42875671 -150.62229919 138.78698730 0.00846651 0.01954564 23.68619919 0.00000000 0.47942689 0.06291893 28
ang20190724t201912 69.38142395 -151.00231934 115.38995361 0.00820510 0.01942609 24.53633308 0.00000000 0.51410246 0.13613442 20
ang20190724t201912 69.37222290 -151.12826538 159.30207825 0.00792877 0.01933199 12.19031906 0.00000000 0.54512137 0.04507348 16
ang20190724t201912 69.38729858 -150.94078064 147.29490662 0.00857309 0.01952320 22.64369202 0.00000000 0.56131089 0.09367008 19
ang20190724t201912 69.40454865 -150.81254578 156.33694458 0.00773112 0.01928836 12.19006729 0.00000000 0.57266802 0.04186385 16
ang20190724t201912 69.42208099 -150.68449402 123.09420013 0.00852562 0.01953919 21.99445152 0.00000000 0.48813033 0.11751859 34
ang20190724t201912 69.43396759 -150.55679321 151.39865112 0.00798959 0.01942100 14.20591450 0.00000000 0.42558026 0.14571561 20
ang20190724t201912 69.44284821 -150.42778015 156.02539062 0.00819957 0.01963889 18.01906013 0.00000000 0.41312096 0.09375660 20
ang20190713t002123 70.69288635 -157.57255554 15.54278278 0.00755347 0.02260963 3.35415959 0.00000000 0.68145442 0.36975724 28
ang20190713t002123 70.74449158 -157.61277771 14.72668934 0.00758120 0.02299362 3.43338466 0.00000000 0.40117300 0.52636909 23
ang20190713t002123 70.78750610 -157.64056396 17.11463547 0.00696734 0.02320404 2.79698682 0.00000000 0.76496226 0.19285400 30
ang20190713t002123 70.82738495 -157.68428040 18.41940880 0.00787237 0.02263622 3.32265449 0.00000000 0.55820715 0.36905158 30
ang20190713t002123 70.87573242 -157.73014832 16.47784615 0.00689662 0.02335587 4.11912966 0.00000000 0.60789704 0.49959353 26
ang20190713t002123 70.62667847 -157.50909424 14.50517464 0.00701901 0.02279869 2.52382827 0.00000000 0.46718580 0.45791844 27
ang20190713t002123 70.67762756 -157.54652405 14.70151711 0.00781873 0.02274083 3.02348876 0.00000000 0.68871766 0.33616599 18
ang20190713t002123 70.57972717 -157.48171997 17.20646477 0.00776946 0.02327354 3.50619411 0.00000000 0.62358320 0.32851195 53
ang20190713t002123 70.71850586 -157.59498596 16.32566261 0.00677976 0.02334931 3.51176906 0.00000000 0.48289365 0.50205058 25
ang20190713t002123 70.85723877 -157.70993042 17.18304062 0.00758249 0.02328225 2.76500559 0.00000000 0.68076140 0.29739490 23
ang20190713t002123 70.89669800 -157.74455261 7.99925947 0.00723941 0.02286873 2.19517136 0.00000000 -0.64476681 0.15817282 34
ang20190713t002123 70.75998688 -157.62661743 16.08141327 0.00782818 0.02268446 3.36236405 0.00000000 0.64450419 0.38847959 31
ang20190713t002123 70.81075287 -157.66052246 19.02112770 0.00708823 0.02306362 2.98019791 0.00000000 0.44916576 0.48203504 26
ang20190713t002123 70.60987854 -157.49540710 15.01103783 0.00792580 0.02244248 2.98177409 0.00000000 0.16184939 0.56021959 26
