flightline,latitude_mean,longitude_mean,elevation_mean,latitude_stdev,longitude_stdev,elevation_stdev,cloud_fraction,ndvi_mean,ndvi_stdev,dimensionality
ang20190701t225819,60.69938278,-137.5193176,1121.850952,0.00748744,0.01625063,150.591568,0,0.77581179,0.11832128,23
ang20190701t225819,60.7340889,-137.6107636,720.7850342,0.00727623,0.01601133,130.9132233,0,0.72433889,0.06984237,21
ang20190701t225819,60.57678604,-137.2261963,659.1245728,0.00736561,0.01618152,57.57514191,0,0.42013925,0.49646229,22
ang20190701t225819,60.55008698,-137.1363678,747.2185669,0.00741571,0.01573366,22.48085403,0,0.70242256,0.09965855,20
ang20190701t225819,60.5152626,-137.0669403,719.2450562,0.00735723,0.01422126,13.64173698,0,0.70487881,0.11041827,22
ang20190701t225819,60.48826218,-136.9941711,715.8829956,0.00742785,0.01497315,4.69295359,0,-0.4812496,0.03512145,22
ang20190701t225819,61.02038574,-138.3529205,865.3867798,0.00721623,0.01626536,29.46688843,0,0.52408081,0.11868881,21
ang20190701t225819,60.62489319,-137.3399048,765.8730469,0.0071587,0.01532858,52.57758713,0,0.70491332,0.23021324,24
ang20190701t225819,61.05444336,-138.4203949,768.0008545,0.0076414,0.01511207,0.02899132,0,-0.59344155,0.03945741,20
ang20190701t225819,60.96023178,-138.1890564,1025.380615,0.0071189,0.01456147,38.93211365,0.0242,0.71446067,0.17567784,27
ang20190701t225819,60.99359894,-138.2606964,1034.375488,0.0075047,0.01586824,30.92394066,0.003,0.57078195,0.15995298,22
ang20190701t225819,60.71696091,-137.5657959,924.8220825,0.00713025,0.01450636,123.2241745,0,0.72656506,0.0968297,21
ang20190701t225819,60.9329567,-138.1154175,990.3908081,0.00747347,0.01556461,64.95198059,0.3899,0.28112906,0.22598049,53
ang20190701t225819,60.74863052,-137.6362,591.1900635,0.00716882,0.01585387,39.42859268,0,0.64160091,0.14190374,45
ang20190701t225819,60.65568924,-137.4046326,962.9738159,0.00714807,0.01570628,52.82090759,0.0641,0.59354776,0.19739415,33
ang20190701t225819,60.68672943,-137.4927826,1112.172241,0.00708562,0.01514363,80.55880737,0.0102,0.72935587,0.17184739,28
ang20190701t225819,60.53227997,-137.1113434,749.5742798,0.0071438,0.01602713,15.47180653,0,0.71830028,0.12509716,21
ang20190701t225819,60.50086975,-137.0207367,712.6363525,0.00715725,0.01603925,6.30690718,0,-0.0857933,0.49187303,25
ang20190701t225819,60.59431076,-137.2542725,635.5462036,0.00710902,0.01483397,15.93239403,0,0.18046185,0.61966032,18
ang20190701t225819,60.56297684,-137.1791687,769.3078003,0.00702167,0.01464956,27.55254936,0,0.70131236,0.10349678,19
ang20190701t225819,60.89995575,-138.024231,819.5411987,0.00707104,0.01638318,40.91446304,0,0.60486561,0.10261717,22
ang20190701t225819,60.87172318,-137.9584045,1058.281616,0.00731713,0.01546127,145.5683441,0,0.72285247,0.09200112,23
ang20190701t225819,60.83910751,-137.8752747,1655.094604,0.00708576,0.01460775,275.9293823,0.0042,0.43956348,0.35349467,52
ang20190701t225819,60.81030655,-137.7937927,1224.501099,0.00727676,0.01503637,195.5534668,0,0.70318323,0.25416327,19
ang20190701t225819,60.77810669,-137.7274323,656.8885498,0.00715007,0.0162249,52.80667496,0,0.57765955,0.18925017,24
ang20190724t201912,69.39559174,-150.8757935,162.5047607,0.00803285,0.01947611,14.03902626,0,0.57147998,0.03721133,19
ang20190724t201912,69.37625885,-151.0684052,100.7058411,0.00782246,0.01948675,25.57090569,0,0.46533847,0.1559737,26
ang20190724t201912,69.36667633,-151.1945953,154.0241547,0.00838637,0.01935938,12.68375301,0,0.54490763,0.0399326,13
ang20190724t201912,69.4380722,-150.4958038,142.0454102,0.00771751,0.01962669,13.41032887,0,0.42556351,0.10727777,39
ang20190724t201912,69.44820404,-150.3686829,145.5131683,0.00860245,0.01966167,14.43261719,0,0.37754357,0.10576856,14
ang20190724t201912,69.41320038,-150.7492981,149.5102692,0.00781707,0.01954811,12.24586964,0,0.56906223,0.04363766,14
ang20190724t201912,69.42875671,-150.6222992,138.7869873,0.00846651,0.01954564,23.68619919,0,0.47942689,0.06291893,28
ang20190724t201912,69.38142395,-151.0023193,115.3899536,0.0082051,0.01942609,24.53633308,0,0.51410246,0.13613442,20
ang20190724t201912,69.3722229,-151.1282654,159.3020783,0.00792877,0.01933199,12.19031906,0,0.54512137,0.04507348,16
ang20190724t201912,69.38729858,-150.9407806,147.2949066,0.00857309,0.0195232,22.64369202,0,0.56131089,0.09367008,19
ang20190724t201912,69.40454865,-150.8125458,156.3369446,0.00773112,0.01928836,12.19006729,0,0.57266802,0.04186385,16
ang20190724t201912,69.42208099,-150.684494,123.0942001,0.00852562,0.01953919,21.99445152,0,0.48813033,0.11751859,34
ang20190724t201912,69.43396759,-150.5567932,151.3986511,0.00798959,0.019421,14.2059145,0,0.42558026,0.14571561,20
ang20190724t201912,69.44284821,-150.4277802,156.0253906,0.00819957,0.01963889,18.01906013,0,0.41312096,0.0937566,20
ang20190713t002123,70.69288635,-157.5725555,15.54278278,0.00755347,0.02260963,3.35415959,0,0.68145442,0.36975724,28
ang20190713t002123,70.74449158,-157.6127777,14.72668934,0.0075812,0.02299362,3.43338466,0,0.401173,0.52636909,23
ang20190713t002123,70.7875061,-157.640564,17.11463547,0.00696734,0.02320404,2.79698682,0,0.76496226,0.192854,30
ang20190713t002123,70.82738495,-157.6842804,18.4194088,0.00787237,0.02263622,3.32265449,0,0.55820715,0.36905158,30
ang20190713t002123,70.87573242,-157.7301483,16.47784615,0.00689662,0.02335587,4.11912966,0,0.60789704,0.49959353,26
ang20190713t002123,70.62667847,-157.5090942,14.50517464,0.00701901,0.02279869,2.52382827,0,0.4671858,0.45791844,27
ang20190713t002123,70.67762756,-157.5465241,14.70151711,0.00781873,0.02274083,3.02348876,0,0.68871766,0.33616599,18
ang20190713t002123,70.57972717,-157.48172,17.20646477,0.00776946,0.02327354,3.50619411,0,0.6235832,0.32851195,53
ang20190713t002123,70.71850586,-157.594986,16.32566261,0.00677976,0.02334931,3.51176906,0,0.48289365,0.50205058,25
ang20190713t002123,70.85723877,-157.7099304,17.18304062,0.00758249,0.02328225,2.76500559,0,0.6807614,0.2973949,23
ang20190713t002123,70.896698,-157.7445526,7.99925947,0.00723941,0.02286873,2.19517136,0,-0.64476681,0.15817282,34
ang20190713t002123,70.75998688,-157.6266174,16.08141327,0.00782818,0.02268446,3.36236405,0,0.64450419,0.38847959,31
